# time Tc_folded Tref_folded model model_err 
2338.360286 0.000000 0.000000     0.000811     0.001138 
2338.360477 0.000000 0.000000     0.000813     0.001135 
2338.360669 0.000000 0.000000     0.000815     0.001132 
2338.360860 0.000000 0.000000     0.000817     0.001128 
2338.361052 0.000000 0.000000     0.000819     0.001125 
2338.361243 0.000000 0.000000     0.000821     0.001122 
2338.361435 0.000000 0.000000     0.000823     0.001119 
2338.361626 0.000000 0.000000     0.000825     0.001115 
2338.361818 0.000000 0.000000     0.000827     0.001112 
2338.362009 0.000000 0.000000     0.000829     0.001109 
2338.362201 0.000000 0.000000     0.000831     0.001106 
2338.362392 0.000000 0.000000     0.000833     0.001102 
2338.362584 0.000000 0.000000     0.000835     0.001099 
2338.362775 0.000000 0.000000     0.000838     0.001096 
2338.362967 0.000000 0.000000     0.000840     0.001093 
2338.363158 0.000000 0.000000     0.000842     0.001089 
2338.363350 0.000000 0.000000     0.000844     0.001086 
2338.363541 0.000000 0.000000     0.000846     0.001083 
2338.363733 0.000000 0.000000     0.000848     0.001080 
2338.363924 0.000000 0.000000     0.000850     0.001077 
2338.364116 0.000000 0.000000     0.000852     0.001073 
2338.364307 0.000000 0.000000     0.000854     0.001070 
2338.364499 0.000000 0.000000     0.000856     0.001067 
2338.364690 0.000000 0.000000     0.000858     0.001064 
2338.364882 0.000000 0.000000     0.000861     0.001061 
2338.365073 0.000000 0.000000     0.000863     0.001057 
2338.365265 0.000000 0.000000     0.000865     0.001054 
2338.365456 0.000000 0.000000     0.000867     0.001051 
2338.365648 0.000000 0.000000     0.000869     0.001048 
2338.365839 0.000000 0.000000     0.000871     0.001045 
2338.366031 0.000000 0.000000     0.000873     0.001042 
2338.366222 0.000000 0.000000     0.000875     0.001039 
2338.366414 0.000000 0.000000     0.000878     0.001035 
2338.366605 0.000000 0.000000     0.000880     0.001032 
2338.366797 0.000000 0.000000     0.000882     0.001029 
2338.366988 0.000000 0.000000     0.000884     0.001026 
2338.367180 0.000000 0.000000     0.000886     0.001023 
2338.367371 0.000000 0.000000     0.000889     0.001020 
2338.367563 0.000000 0.000000     0.000891     0.001017 
2338.367754 0.000000 0.000000     0.000893     0.001014 
2338.367946 0.000000 0.000000     0.000895     0.001011 
2338.368137 0.000000 0.000000     0.000897     0.001007 
2338.368329 0.000000 0.000000     0.000900     0.001004 
2338.368520 0.000000 0.000000     0.000902     0.001001 
2338.368712 0.000000 0.000000     0.000904     0.000998 
2338.368903 0.000000 0.000000     0.000906     0.000995 
2338.369095 0.000000 0.000000     0.000908     0.000992 
2338.369286 0.000000 0.000000     0.000911     0.000989 
2338.369478 0.000000 0.000000     0.000913     0.000986 
2338.369669 0.000000 0.000000     0.000915     0.000983 
2338.369861 0.000000 0.000000     0.000917     0.000980 
2338.370052 0.000000 0.000000     0.000920     0.000977 
2338.370244 0.000000 0.000000     0.000922     0.000974 
2338.370435 0.000000 0.000000     0.000924     0.000971 
2338.370627 0.000000 0.000000     0.000926     0.000968 
2338.370818 0.000000 0.000000     0.000929     0.000965 
2338.371010 0.000000 0.000000     0.000931     0.000962 
2338.371201 0.000000 0.000000     0.000933     0.000959 
2338.371393 0.000000 0.000000     0.000936     0.000956 
2338.371584 0.000000 0.000000     0.000938     0.000953 
2338.371776 0.000000 0.000000     0.000940     0.000950 
2338.371968 0.000000 0.000000     0.000943     0.000948 
2338.372159 0.000000 0.000000     0.000945     0.000945 
2338.372351 0.000000 0.000000     0.000947     0.000942 
2338.372542 0.000000 0.000000     0.000950     0.000939 
2338.372734 0.000000 0.000000     0.000952     0.000936 
2338.372925 0.000000 0.000000     0.000954     0.000933 
2338.373117 0.000000 0.000000     0.000957     0.000930 
2338.373308 0.000000 0.000000     0.000959     0.000927 
2338.373500 0.000000 0.000000     0.000961     0.000925 
2338.373691 0.000000 0.000000     0.000964     0.000922 
2338.373883 0.000000 0.000000     0.000966     0.000919 
2338.374074 0.000000 0.000000     0.000968     0.000916 
2338.374266 0.000000 0.000000     0.000971     0.000913 
2338.374457 0.000000 0.000000     0.000973     0.000911 
2338.374649 0.000000 0.000000     0.000976     0.000908 
2338.374840 0.000000 0.000000     0.000978     0.000905 
2338.375032 0.000000 0.000000     0.000980     0.000902 
2338.375223 0.000000 0.000000     0.000983     0.000900 
2338.375415 0.000000 0.000000     0.000985     0.000897 
2338.375606 0.000000 0.000000     0.000988     0.000894 
2338.375798 0.000000 0.000000     0.000990     0.000891 
2338.375989 0.000000 0.000000     0.000992     0.000889 
2338.376181 0.000000 0.000000     0.000995     0.000886 
2338.376372 0.000000 0.000000     0.000997     0.000883 
2338.376564 0.000000 0.000000     0.001000     0.000881 
2338.376755 0.000000 0.000000     0.001002     0.000878 
2338.376947 0.000000 0.000000     0.001004     0.000875 
2338.377138 0.000000 0.000000     0.001007     0.000873 
2338.377330 0.000000 0.000000     0.001009     0.000870 
2338.377521 0.000000 0.000000     0.001012     0.000868 
2338.377713 0.000000 0.000000     0.001014     0.000865 
2338.377904 0.000000 0.000000     0.001017     0.000862 
