# epoch Tc_folded Tref_folded value value_err offset model full_model val_compare val_compare_err residuals residuals_err jitter 
58026.439462 0.000000 0.000000 -3400.170009 2.651136 -3409.696883 13.491208 -3401.992942 15.314140 2.651136 1.822933 2.651136 0.773852
58026.524119 0.000000 0.000000 -3391.749324 2.834279 -3409.696883 13.295306 -3392.601399 14.147381 2.834279 0.852075 2.834279 0.773852
58820.385845 0.000000 0.000000 -3407.233581 5.604244 -3409.696883 1.189808 -3407.373873 1.330100 5.604244 0.140292 5.604244 0.773852
59416.667143 0.000000 0.000000 -3416.016064 2.191666 -3409.696883 -11.068337 -3415.372353 -11.712048 2.191666 -0.643711 2.191666 0.773852
59428.721191 0.000000 0.000000 -3379.863485 1.928625 -3409.696883 24.530364 -3380.685007 25.351887 1.928625 0.821522 1.928625 0.773852
59442.689993 0.000000 0.000000 -3394.128765 2.616052 -3409.696883 19.234962 -3393.794714 18.900911 2.616052 -0.334051 2.616052 0.773852
59459.571626 0.000000 0.000000 -3406.988796 1.986261 -3409.696883 -3.023640 -3407.335533 -2.676904 1.986261 0.346737 1.986261 0.773852
59473.565133 0.000000 0.000000 -3417.074562 3.502489 -3409.696883 -7.671896 -3415.490040 -9.256418 3.502489 -1.584522 3.502489 0.773852
57984.680256 0.000000 0.000000 -3384.100000 1.800000 -3381.918013 6.332492 -3382.706961 4.939454 1.800000 -1.393039 1.800000 1.187778
57984.751983 0.000000 0.000000 -3374.200000 1.700000 -3381.918013 6.536585 -3374.001045 6.337630 1.700000 -0.198955 1.700000 1.187778
57985.674925 0.000000 0.000000 -3368.400000 1.600000 -3381.918013 8.258940 -3370.973545 10.832485 1.600000 2.573545 1.600000 1.187778
57985.734244 0.000000 0.000000 -3378.400000 1.900000 -3381.918013 8.282794 -3378.584809 8.467603 1.900000 0.184809 1.900000 1.187778
57985.785126 0.000000 0.000000 -3381.500000 1.600000 -3381.918013 8.294093 -3381.770145 8.564238 1.600000 0.270145 1.600000 1.187778
57985.813252 0.000000 0.000000 -3378.400000 1.900000 -3381.918013 8.296765 -3380.272687 10.169452 1.900000 1.872687 1.900000 1.187778
57986.682822 0.000000 0.000000 -3380.000000 1.900000 -3381.918013 7.366304 -3377.110091 4.476395 1.900000 -2.889909 1.900000 1.187778
57986.754654 0.000000 0.000000 -3369.900000 1.600000 -3381.918013 7.224368 -3369.604953 6.929321 1.600000 -0.295047 1.600000 1.187778
57986.778833 0.000000 0.000000 -3367.500000 1.800000 -3381.918013 7.174946 -3369.916465 9.591411 1.800000 2.416465 1.800000 1.187778
57986.826543 0.000000 0.000000 -3376.900000 1.900000 -3381.918013 7.075052 -3374.935688 5.110740 1.900000 -1.964312 1.900000 1.187778
57987.709214 0.000000 0.000000 -3381.300000 1.600000 -3381.918013 4.636895 -3381.412701 4.749596 1.600000 0.112701 1.600000 1.187778
57987.734608 0.000000 0.000000 -3383.700000 1.600000 -3381.918013 4.548409 -3383.135273 3.983682 1.600000 -0.564727 1.600000 1.187778
57987.781925 0.000000 0.000000 -3381.600000 1.400000 -3381.918013 4.380660 -3381.233053 4.013712 1.400000 -0.366947 1.400000 1.187778
57987.806336 0.000000 0.000000 -3377.700000 1.400000 -3381.918013 4.292673 -3378.226109 4.818781 1.400000 0.526109 1.400000 1.187778
57990.664452 0.000000 0.000000 -3374.300000 2.500000 -3381.918013 0.391822 -3375.019300 1.111121 2.500000 0.719300 2.500000 1.187778
57990.695714 0.000000 0.000000 -3373.500000 2.200000 -3381.918013 0.503262 -3374.246540 1.249802 2.200000 0.746540 2.200000 1.187778
57990.732741 0.000000 0.000000 -3374.800000 2.100000 -3381.918013 0.635092 -3377.027672 2.862763 2.100000 2.227672 2.100000 1.187778
57990.800776 0.000000 0.000000 -3389.700000 2.100000 -3381.918013 0.875197 -3385.362875 -3.461928 2.100000 -4.337125 2.100000 1.187778
57991.701381 0.000000 0.000000 -3383.100000 1.800000 -3381.918013 2.345007 -3384.731642 3.976648 1.800000 1.631642 1.800000 1.187778
57991.772391 0.000000 0.000000 -3379.600000 1.500000 -3381.918013 2.229344 -3375.993385 -1.377272 1.500000 -3.606615 1.500000 1.187778
57992.672127 0.000000 0.000000 -3380.000000 1.500000 -3381.918013 -2.524339 -3380.620459 -1.903880 1.500000 0.620459 1.500000 1.187778
57992.697220 0.000000 0.000000 -3385.800000 1.500000 -3381.918013 -2.719500 -3383.295702 -5.223798 1.500000 -2.504298 1.500000 1.187778
57992.743541 0.000000 0.000000 -3387.500000 2.000000 -3381.918013 -3.083420 -3389.918761 -0.664658 2.000000 2.418761 2.000000 1.187778
57992.771308 0.000000 0.000000 -3390.400000 1.900000 -3381.918013 -3.303440 -3392.709546 -0.993894 1.900000 2.309546 1.900000 1.187778
57992.826622 0.000000 0.000000 -3391.900000 2.000000 -3381.918013 -3.744720 -3391.702540 -3.942181 2.000000 -0.197460 2.000000 1.187778
