# time model 
2338.385181 1.001921 
2338.385373 1.001925 
2338.385564 1.001929 
2338.385756 1.001933 
2338.385947 1.001936 
2338.386139 1.001940 
2338.386330 1.001944 
2338.386522 1.001948 
2338.386713 1.001952 
2338.386905 1.001956 
2338.387096 1.001960 
2338.387288 1.001963 
2338.387479 1.001967 
2338.387671 1.001971 
2338.387862 1.001975 
2338.388054 1.001979 
2338.388245 1.001982 
2338.388437 1.001986 
2338.388628 1.001990 
2338.388820 1.001993 
2338.389011 1.001997 
2338.389203 1.002000 
2338.389394 1.002004 
2338.389586 1.002007 
2338.389777 1.002011 
2338.389969 1.002015 
2338.390160 1.002018 
2338.390352 1.002021 
2338.390543 1.002025 
2338.390735 1.002028 
2338.390926 1.002032 
2338.391118 1.002035 
2338.391309 1.002038 
2338.391501 1.002042 
2338.391692 1.002045 
2338.391884 1.002048 
2338.392075 1.002052 
2338.392267 1.002055 
2338.392458 1.002058 
2338.392650 1.002061 
2338.392841 1.002064 
2338.393033 1.002068 
2338.393224 1.002071 
2338.393416 1.002074 
2338.393607 1.002077 
2338.393799 1.002080 
2338.393990 1.002083 
2338.394182 1.002086 
2338.394373 1.002089 
2338.394565 1.002092 
2338.394756 1.002095 
2338.394948 1.002098 
2338.395139 1.002101 
2338.395331 1.002103 
2338.395522 1.002106 
2338.395714 1.002109 
2338.395905 1.002112 
2338.396097 1.002115 
2338.396288 1.002117 
2338.396480 1.002120 
2338.396671 1.002123 
2338.396863 1.002125 
2338.397054 1.002128 
2338.397246 1.002131 
2338.397437 1.002133 
2338.397629 1.002136 
2338.397820 1.002138 
2338.398012 1.002141 
2338.398203 1.002144 
2338.398395 1.002146 
2338.398586 1.002148 
2338.398778 1.002151 
2338.398969 1.002153 
2338.399161 1.002156 
2338.399352 1.002158 
2338.399544 1.002160 
2338.399735 1.002163 
2338.399927 1.002165 
2338.400118 1.002167 
2338.400310 1.002170 
2338.400501 1.002172 
2338.400693 1.002174 
2338.400884 1.002176 
2338.401076 1.002178 
2338.401267 1.002181 
2338.401459 1.002183 
2338.401650 1.002185 
2338.401842 1.002187 
2338.402033 1.002189 
